svg,svg_id,label,status_text,status_color,modal_before,modal_after
pelagic.svg,pinnipeds,Pinnipeds,,,,
pelagic.svg,copepods,Copepods (Secondary producers),,#2b2b2b,,
pelagic.svg,jellies,Gelatinous zooplankton  (Secondary producers),,#2b2b2b,,
pelagic.svg,forage-invertss,Forage Invertebrates,,#2b2b2b,,
pelagic.svg,midwater-larval-fish,Midwater Larval Fish,,#2b2b2b,,
pelagic.svg,forage-fish,Forage Fish,,#2b2b2b,,
pelagic.svg,salmon,Salmon,,#2b2b2b,,
pelagic.svg,seabirds,Seabirds,,#2b2b2b,,
pelagic.svg,leatherbacks,Leatherback Turtles,,#2b2b2b,,
pelagic.svg,whales,Whales,,#2b2b2b,,
pelagic.svg,eDNA,Environmental DNA,,#2b2b2b,,
kelp-forest.svg,otter,Sea Otters,,#2b2b2b,,
kelp-forest.svg,crabs,Crab,,#2b2b2b,,
kelp-forest.svg,shrimp,Shrimp,,#2b2b2b,,
kelp-forest.svg,kelp-canopy,Kelp Canopy,,#575511,prep/plot_caption/kelp_canopy.Rmd,
pelagic.svg,phytoplankton,Phytoplankton (Primary producers),,#1e3b1a,prep/caption/phytoplankton.md,prep/caption/phytoplankton_bottom.md
