Classification_level,svg_id,plot_title,filter,col_t,col_y,col_se,y_label,group_by,csv_url,direct_path,skip_lines,plot_caption
Trophic group,phytoplankton,Phytoplankton Biomass,NA,yr,b_abun,NA,mg C m-3,NA,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/efm_biomass_mb_by_year.csv,info-mb/prep/data/phytoplankton/efm_biomass_mb_by_year.csv,0,
Foundation species,phytoplankton,Pennate Diatom Abundance,NA,yr,p_abun,NA,mg C m-3,NA,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/efm_diatoms_mb_by_year.csv,info-mb/master/prep/data/phytoplankton/efm_diatoms_mb_by_year.csv,0,prep/plot_caption/pennate_diatoms.md
Foundation species,phytoplankton,Centric Diatom Abundance,NA,yr,c_abun,NA,mg C m-3,NA,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/efm_diatoms_mb_by_year.csv,info-mb/master/prep/data/phytoplankton/efm_diatoms_mb_by_year.csv,0,prep/plot_caption/centric_diatoms.md
Foundation species,phytoplankton,Autotrophic Dinoflagellates Abundance,NA,yr,a_abun,NA,mg C m-3,NA,https://raw.githubusercontent.com/marinebon/info-mb/master/prep/data/phytoplankton/efm_dinos_mb_by_year.csv,info-mb/master/prep/data/phytoplankton/efm_dinos_mb_by_year.csv,0,prep/plot_caption/dinoflagellates.md
Trophic group,pinnipeds,Female sea lion pup growth rate,NA,time (UTC),mean_growth_rate (kg/day),NA,Mean growth rate,NA,"http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csvp?time%2Cmean_growth_rate",,0,
Trophic group,pinnipeds,Female sea lion pup weight index,NA,time (UTC),mean_weight (kg),NA,Mean pup weight,NA,"http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csvp?time%2Cmean_weight",,0,
Trophic group,pinnipeds,"Sea lion pup count; San Miguel Isl.",NA,time (UTC),live_pup_count (count),NA,Average live pup count,NA,"http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csvp?time%2Clive_pup_count",,0,
Trophic group,squid,Market Squid Abundance,"species_group == ""Market squid""",time (UTC),mean_cpue (ln(catch+1)),NA,mean_cpue (ln(catch+1)),NA,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_EI_FBC.csvp?time%2Cspecies_group%2Cmean_cpue%2CSeup%2CSelo&distinct(),,0,
Trophic group,salmon,"Salmon Landings (coastwide; mostly chinook)",NA,time (UTC),salmon_coastwide (1000s metric tons),,1000s metric tons,NA,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_AC.csvp?time%2Csalmon_coastwide&time%3E=1980-01-01&time%3C=2014-01-01,,0,
Trophic group,salmon,Coho Salmon Abundance,NA,time (UTC),abundance,NA,abundance,NA,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_SM_CA_CO_ABND.csvp?time%2Cpopulation%2Cabundance&population=%22CaCoastal%22&distinct(),,0,
Trophic group,salmon,King Salmon Abundance,NA,time (UTC),catch,NA,Catch,NA,http://oceanview.pfeg.noaa.gov/erddap/tabledap/FED_Rockfish_Catch.csvp?time%2Ccatch%2Cmaturity%2Carea%2Cstrata&latitude%3E=35.5&latitude%3C=38&catch%3E0&common_name=%22KING%20SALMON%22,,0,
Trophic group,jellies,Chrysaora and Aurelia Abundance,,time (UTC),abundance (ln(catch+1)),NA,log,NA,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_EI_JELLY_CC.csvp?time%2Cspecies_group%2Cabundance&time%3E=1990-01-01T00%3A00%3A00Z&time%3C=2015-01-01T00%3A00%3A00Z,,0,
Foundation species,krill,Krill Abundance,"species_group == ""Krill""",time (UTC),mean_cpue (ln(catch+1)),NA,mean_cpue (ln(catch+1)),NA,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_EI_FBC.csvp?time%2Cspecies_group%2Cmean_cpue%2CSeup%2CSelo&distinct(),,0,
Trophic group,crabs,Crab Landings (coastwide),NA,time (UTC),crab_coastwide (1000s metric tons),NA,1000s metric tons,NA,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_AC.csvp?time%2Ccrab_coastwide&time%3E=1980-01-01&time%3C=2014-01-01,,0,
Trophic group,shrimp,Shrimp Landings (coastwide),NA,time (UTC),shrimp_coastwide (1000s metric tons),NA,1000s metric tons,NA,http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_AC.csvp?time%2Cshrimp_coastwide&time%3E=1980-01-01&time%3C=2014-01-01,,0,
Trophic group,forage-fish,"Forage & Rockfish (YOY; adults; and unknown) Abundance",NA,year,catch,NA,Catch,NA,https://github.com/marinebon/info-mb/blob/master/prep/data/fish/FED_Rockfish_Forage_Catch_ALL_year_sums.csv,info-mb/blob/master/prep/data/fish/FED_Rockfish_Forage_Catch_ALL_year_sums.csv,0,
Trophic group,rockfish,"Forage & Rockfish (YOY; adults; and unknown) Abundance",NA,year,catch,NA,Catch,NA,https://github.com/marinebon/info-mb/blob/master/prep/data/fish/FED_Rockfish_Forage_Catch_ALL_year_sums.csv,info-mb/blob/master/prep/data/fish/FED_Rockfish_Forage_Catch_ALL_year_sums.csv,0,
Trophic group,forage-fish,Forage Fish (adults) Abundance,NA,year,catch,NA,Catch,NA,https://github.com/marinebon/info-mb/blob/master/prep/data/fish/FED_Forage_Catch_A_UNK_year_sums.csv,,0,
Trophic group,YOY_rockfish,Rockfish YOY Abundance,NA,year,catch,NA,Catch,NA,https://github.com/marinebon/info-mb/blob/master/prep/data/fish/FED_Rockfish_Catch_YOY_UNK_year_sums.csv,,0,
